NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1706-0022,11/16/2023 10:22,274,9.524,38.53,75.1
M1706-0022,10/7/2022 15:31,271.8,9.438,38.41,75.3
M1706-0022,9/16/2021 8:30,273.3,9.435,38.59,75.5
M1706-0022,9/21/2020 10:54,273.9,9.445,38.61,75.6
M1706-0022,1/29/2020 9:27,274,9.426,38.62,75.8
M1706-0022,12/10/2018 14:11,275.4,9.441,38.7,75.9
M1706-0022,8/8/2017 10:13,280.1,9.492,38.86,76.4
M1706-0022,7/21/2017 7:49,280.4,9.506,38.84,76.4
M1706-0022,7/11/2017 11:11,282.1,9.532,38.92,76.5
M1706-0029,11/16/2023 10:16,274.4,9.595,38.57,74.6
M1706-0029,10/7/2022 15:26,271.5,9.473,38.55,74.6
M1706-0029,9/16/2021 8:23,273.5,9.491,38.65,75
M1706-0029,9/21/2020 11:15,273.4,9.491,38.64,75
M1706-0029,1/29/2020 9:32,274.2,9.484,38.7,75.2
M1706-0029,12/10/2018 13:56,274.9,9.492,38.72,75.3
M1706-0029,7/19/2017 11:58,279,9.553,38.82,75.7
M1706-0040,12/10/2018 14:01,274.7,9.472,38.69,75.5
M1706-0040,7/19/2017 12:54,279.3,9.543,38.8,75.9
M1706-0041,11/16/2023 10:29,272.1,9.576,38.51,74.3
M1706-0041,10/7/2022 15:34,269.5,9.46,38.36,74.5
M1706-0041,9/16/2021 8:44,271,9.469,38.51,74.8
M1706-0041,9/21/2020 11:03,272.1,9.485,38.55,74.9
M1706-0041,1/29/2020 9:42,272.9,9.442,38.66,75.3
M1706-0041,12/10/2018 14:15,274.1,9.474,38.67,75.3
M1706-0041,7/19/2017 11:26,278.9,9.534,38.83,75.8
