NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1706-0081,1/25/2024 11:12,282.3,9.422,39.32,76.8
M1706-0081,10/7/2022 10:07,282.5,9.368,39.25,77.1
M1706-0081,9/29/2022 10:51,283.2,9.389,39.43,77.1
M1706-0081,9/16/2021 9:02,284.4,9.409,39.51,77.1
M1706-0081,9/21/2020 11:56,283.7,9.416,39.43,77
M1706-0081,1/29/2020 10:20,285.1,9.411,39.55,77.2
M1706-0081,12/10/2018 13:50,286.4,9.421,39.64,77.3
M1706-0081,8/9/2017 9:44,286.7,9.437,39.59,77.3
M1706-0082,1/25/2024 11:20,280.1,9.355,39.17,77
M1706-0082,10/7/2022 10:28,280.3,9.336,39.08,77.2
M1706-0082,9/29/2022 11:01,279.7,9.313,39.2,77.2
M1706-0082,9/16/2021 9:07,281.6,9.34,39.3,77.3
M1706-0082,9/21/2020 11:51,280.9,9.34,39.24,77.2
M1706-0082,1/29/2020 10:15,282.8,9.354,39.36,77.4
M1706-0082,12/10/2018 13:47,287.3,9.396,39.64,77.7
M1706-0082,8/9/2017 9:56,287.5,9.417,39.58,77.7
