NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1806-0005,9/29/2022 15:26,320.8,10.529,39.73,76.6
M1806-0005,9/29/2021 8:32,321.3,10.509,39.94,76.7
M1806-0005,9/29/2020 8:57,321.1,10.509,39.91,76.7
M1806-0005,1/28/2020 14:30,321.8,10.54,39.98,76.6
M1806-0005,8/1/2018 10:15,323.8,10.54,40.06,76.9
M1806-0005,7/20/2018 8:16,324,10.53,40.1,76.9
M1806-0005,6/6/2018 11:42,326.8,10.551,40.07,77.5
M1806-0006,5/8/2024 10:05,322.7,10.457,40.11,77.1
M1806-0006,10/7/2022 12:23,325.8,10.502,39.98,77.5
M1806-0006,9/29/2021 8:40,325,10.487,40.17,77.4
M1806-0006,9/29/2020 9:25,324.8,10.509,40.14,77.2
M1806-0006,1/28/2020 14:33,326.8,10.509,40.3,77.3
M1806-0006,8/1/2018 9:54,328,10.519,40.36,77.4
M1806-0006,7/20/2018 8:04,328.1,10.519,40.36,77.4
M1806-0006,6/6/2018 11:36,327.4,10.519,40.32,77.4
M1806-0007,5/8/2024 10:09,323.9,10.498,40.17,77
M1806-0007,10/7/2022 12:17,326.7,10.54,40.06,77.3
M1806-0007,9/29/2021 8:27,327,10.53,40.25,77.3
M1806-0007,9/29/2020 9:07,326.7,10.53,40.21,77.3
M1806-0007,1/28/2020 14:19,327.5,10.54,40.26,77.4
M1806-0007,8/1/2018 10:03,324.5,10.519,40.4,76.6
M1806-0007,7/20/2018 8:08,324.5,10.519,40.41,76.5
M1806-0007,6/6/2018 11:32,326.2,10.519,40.36,77
M1806-0008,5/8/2024 10:14,328,10.467,40.32,77.9
M1806-0008,10/7/2022 12:26,331.4,10.517,40.22,78.2
M1806-0008,9/29/2021 8:36,330.9,10.519,40.41,78
M1806-0008,9/29/2020 9:11,330.7,10.53,40.38,77.9
M1806-0008,1/28/2020 14:24,331.7,10.551,40.46,77.9
M1806-0008,8/1/2018 10:09,328.6,10.519,40.51,77.3
M1806-0008,7/20/2018 8:13,328.6,10.519,40.54,77.3
M1806-0008,6/6/2018 11:27,331.4,10.498,40.49,78.1
M1806-0011,5/8/2024 10:22,320.4,10.509,39.88,76.6
M1806-0011,10/7/2022 12:19,326.8,10.626,39.88,77.1
M1806-0011,7/19/2018 7:45,325.5,10.519,40.12,77.3
