NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1803-0036,4/4/2023 11:17,289.6,9.807,39.2,75.8
M1803-0036,10/7/2022 11:55,288,9.753,38.95,75.8
M1803-0036,9/22/2021 10:34,286.5,9.781,39.14,75.3
M1803-0036,9/23/2020 11:49,290.2,9.795,39.27,75.9
M1803-0036,1/27/2020 8:31,295.2,9.821,39.46,76.6
M1803-0036,4/10/2018 9:39,297.9,9.793,39.88,76.8
M1803-0036,3/27/2018 10:38,298.1,9.804,39.9,76.7
M1803-0036,3/21/2018 9:38,299.4,9.799,39.96,77
M1803-0036,3/14/2018 13:23,299.6,9.827,39.91,76.9
M1803-0037,4/4/2023 10:51,293.8,9.839,39.21,76.7
M1803-0037,10/7/2022 12:00,289.3,9.796,38.92,75.9
M1803-0037,9/22/2021 10:19,289.7,9.798,39.15,76
M1803-0037,9/23/2020 12:05,290.6,9.8,39.23,76
M1803-0037,1/27/2020 8:41,296.1,9.826,39.5,76.8
M1803-0037,4/10/2018 9:36,298.1,9.82,39.83,76.7
M1803-0037,3/27/2018 10:34,298.5,9.821,39.86,76.8
M1803-0037,3/21/2018 9:35,299.5,9.823,39.89,76.9
M1803-0037,3/14/2018 13:27,300.3,9.846,39.87,77
M1803-0038,4/4/2023 11:01,291.6,9.821,39.2,76.2
M1803-0038,10/7/2022 11:50,287.4,9.75,38.91,75.8
M1803-0038,9/22/2021 10:23,287.2,9.751,39.12,75.8
M1803-0038,9/23/2020 12:00,289.8,9.778,39.23,76
M1803-0038,1/27/2020 8:47,295.8,9.774,39.5,77.1
M1803-0038,4/10/2018 9:27,298.2,9.789,39.79,77
M1803-0038,3/27/2018 10:41,298.9,9.783,39.87,77.1
M1803-0038,3/21/2018 9:40,300.7,9.795,39.96,77.3
M1803-0038,3/14/2018 13:30,300.3,9.827,39.86,77.1
M1803-0039,4/4/2023 11:07,293.5,9.823,39.1,76.9
M1803-0039,10/7/2022 11:58,285.9,9.698,38.72,76.2
M1803-0039,9/22/2021 10:30,285.7,9.726,38.9,76
M1803-0039,9/23/2020 11:56,287.5,9.759,39.03,75.9
M1803-0039,1/27/2020 8:37,295.5,9.823,39.35,76.9
M1803-0039,4/10/2018 9:31,297.4,9.807,39.7,76.9
M1803-0039,3/27/2018 10:43,297.3,9.802,39.72,76.8
M1803-0039,3/21/2018 9:42,299.1,9.813,39.8,77.1
M1803-0039,3/14/2018 13:32,298.5,9.836,39.72,76.9
