NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1609-0014,1/11/2024 9:43,248.3,8.776,37.19,76.5
M1609-0014,9/19/2016 11:02,260.4,9.026,37.79,76.8
M1609-0015,1/4/2024 10:29,251.7,8.827,37.41,76.6
M1609-0015,9/19/2016 10:59,261.8,9.036,37.91,76.9
M1609-0016,1/4/2024 9:59,246.3,8.737,37.14,76.3
M1609-0016,9/19/2016 10:55,260.2,9.015,37.82,76.8
M1609-0017,1/11/2024 9:47,251.1,8.833,37.4,76.4
M1609-0017,9/19/2016 10:51,261.3,9.033,37.88,76.8
M1609-0018,1/4/2024 10:09,249.9,8.741,37.3,77
M1609-0018,9/19/2016 10:48,261,9.036,37.83,76.8
M1609-0019,1/11/2024 9:53,248.9,8.782,37.24,76.5
M1609-0019,9/19/2016 10:44,260.3,9.035,37.77,76.7
M1609-0020,1/4/2024 10:13,249.7,8.818,37.3,76.3
M1609-0020,9/19/2016 10:36,261.1,9.06,37.8,76.7
M1609-0046,1/11/2024 9:58,250.9,8.772,37.4,76.9
M1609-0046,9/20/2016 12:06,259.4,9.031,37.72,76.6
M1609-0047,4/18/2024 10:39,253.8,8.9,37.45,76.6
M1609-0047,9/9/2022 8:43,248.6,8.764,37.22,76.6
M1609-0047,4/7/2021 11:26,250.1,8.806,37.27,76.6
M1609-0047,9/15/2020 10:23,245.2,8.714,37,76.4
M1609-0047,3/24/2020 10:38,250.8,8.819,37.32,76.6
M1609-0047,6/3/2019 8:31,254.8,8.909,37.51,76.7
M1609-0047,10/29/2018 10:57,249.7,8.784,37.26,76.7
M1609-0047,5/10/2018 9:47,252.5,8.844,37.41,76.7
M1609-0047,9/11/2017 9:30,250.5,8.782,37.35,76.8
M1609-0047,9/20/2016 11:37,259.4,9.01,37.73,76.8
M1609-0048,1/11/2024 10:03,251.9,8.843,37.45,76.5
M1609-0048,9/20/2016 11:48,259.8,9.043,37.73,76.6
M1609-0049,1/11/2024 10:16,252,8.89,37.45,76.1
M1609-0049,9/20/2016 11:45,259.5,9.062,37.74,76.3
M1609-0055,4/18/2024 10:32,251.7,8.829,37.39,76.7
M1609-0055,9/9/2022 8:50,243.4,8.683,36.95,76.3
M1609-0055,4/7/2021 11:12,244.9,8.721,37,76.3
M1609-0055,9/15/2020 10:11,240.7,8.649,36.77,76.1
M1609-0055,9/15/2020 10:09,241,8.648,36.79,76.2
M1609-0055,3/24/2020 10:57,247.8,8.723,37.2,76.8
M1609-0055,6/3/2019 8:22,253.9,8.895,37.48,76.6
M1609-0055,10/29/2018 11:06,247.3,8.71,37.16,76.8
M1609-0055,5/10/2018 9:27,252,8.834,37.4,76.7
M1609-0055,9/11/2017 9:03,248.6,8.778,37.23,76.5
M1609-0014,1/11/2024 9:43,248.3,8.776,37.19,76.5
M1609-0014,9/19/2016 11:02,260.4,9.026,37.79,76.8
M1609-0015,1/4/2024 10:29,251.7,8.827,37.41,76.6
M1609-0015,9/19/2016 10:59,261.8,9.036,37.91,76.9
M1609-0016,1/4/2024 9:59,246.3,8.737,37.14,76.3
M1609-0016,9/19/2016 10:55,260.2,9.015,37.82,76.8
M1609-0017,1/11/2024 9:47,251.1,8.833,37.4,76.4
M1609-0017,9/19/2016 10:51,261.3,9.033,37.88,76.8
M1609-0018,1/4/2024 10:09,249.9,8.741,37.3,77
