NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1803-0001,11/16/2023 9:51,322.5,6.015,69.41,78.3
M1803-0001,7/18/2022 10:26,326.6,6.092,69.45,78.2
M1803-0001,9/21/2021 12:57,329.6,6.085,69.85,78.6
M1803-0001,9/23/2020 9:17,331.3,6.09,70.08,78.7
M1803-0001,10/24/2019 10:03,333.5,6.09,70.32,78.9
M1803-0001,4/10/2018 9:44,331.9,6.051,70.58,78.8
M1803-0001,3/27/2018 10:29,331.8,6.048,70.6,78.8
M1803-0001,3/21/2018 9:31,331,6.044,70.53,78.7
M1803-0001,3/14/2018 13:05,329.6,6.05,70.36,78.5
M1803-0002,9/29/2022 15:15,322.3,6.067,69.45,77.5
M1803-0002,7/18/2022 10:45,322.3,6.068,69.45,77.5
M1803-0002,9/21/2021 12:47,325.5,6.07,69.83,77.8
M1803-0002,9/23/2020 9:33,326.5,6.068,70.03,77.9
M1803-0002,10/24/2019 10:28,328.9,6.071,70.28,78.1
M1803-0002,4/10/2018 9:48,330.8,6.029,70.54,78.8
M1803-0002,3/27/2018 10:26,330.4,6.021,70.52,78.9
M1803-0002,3/21/2018 9:25,330.1,6.025,70.47,78.8
M1803-0002,3/14/2018 13:10,328.8,6.029,70.31,78.6
M1803-0005,7/18/2022 10:56,326.1,6.066,69.52,78.4
M1803-0005,9/21/2021 13:13,328.8,6.071,69.82,78.6
M1803-0005,9/23/2020 9:22,330.4,6.067,70.08,78.8
M1803-0005,10/24/2019 10:16,332.9,6.069,70.35,79
M1803-0005,4/13/2018 8:48,331.1,6.031,70.53,78.9
M1803-0005,3/16/2018 11:30,329.5,6.027,70.45,78.7
M1803-0006,11/16/2023 9:29,321.9,6.003,69.4,78.3
M1803-0006,7/18/2022 10:51,326.4,6.073,69.57,78.3
M1803-0006,9/21/2021 13:03,329.5,6.07,69.96,78.7
M1803-0006,9/23/2020 9:28,330.7,6.08,70.11,78.6
M1803-0006,10/24/2019 10:33,333.5,6.08,70.45,78.9
M1803-0006,4/13/2018 9:04,331.7,6.041,70.64,78.8
M1803-0006,3/16/2018 11:34,329.4,6.036,70.44,78.5
M1803-0028,11/16/2023 9:41,325.5,6.017,69.87,78.5
M1803-0028,6/13/2018 8:59,327.9,5.995,70.41,78.8
M1803-0034,11/16/2023 9:10,325.1,6.02,69.83,78.4
M1803-0034,6/13/2018 8:49,327.7,5.991,70.4,78.8
