NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1812-0016,4/21/2022 12:51,375.5,8.639,53.97,77.1
M1812-0016,12/19/2018 13:23,409,9.252,54.93,77.4
M1812-0018,4/21/2022 11:13,376.8,8.594,54.26,77.4
M1812-0018,12/19/2018 13:00,407.7,9.188,55.03,77.6
M1812-0025,4/21/2022 11:30,378.5,8.667,53.92,77.6
M1812-0025,12/18/2018 13:05,408.6,9.192,54.92,77.9
M1812-0026,4/21/2022 13:03,376.5,8.65,53.82,77.4
M1812-0026,12/18/2018 13:13,403.1,9.166,54.77,77.3
M1812-0030,3/21/2023 14:14,380.2,8.634,54.41,77.9
M1812-0030,4/21/2022 13:49,382.9,8.628,54.26,78.3
M1812-0030,1/9/2019 9:16,410.9,9.196,55.09,78.1
M1812-0031,3/21/2023 13:55,374.5,8.57,54.16,77.6
M1812-0031,4/21/2022 13:40,380,8.641,54.24,77.6
M1812-0031,1/9/2019 9:35,411.7,9.259,55.06,77.7
M1812-0032,3/21/2023 10:32,377.5,8.53,54.33,78.4
M1812-0032,4/21/2022 13:31,382.7,8.576,54.41,78.5
M1812-0032,1/9/2019 9:27,412.7,9.13,55.23,78.8
M1812-0033,3/21/2023 9:42,373.7,8.551,54.17,77.6
M1812-0033,4/21/2022 13:22,378.9,8.632,54.15,77.7
M1812-0033,1/9/2019 9:22,409.2,9.203,55.06,77.7
