NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M2003-0001,3/29/2024 13:12,359.2,9.468,48.14,78.4
M2003-0001,6/29/2022 14:10,364,9.594,48.16,78.4
M2003-0001,4/20/2022 16:15,363.9,9.592,47.89,77.3
M2003-0001,3/22/2022 11:23,364.1,9.588,48.15,78.4
M2003-0001,3/22/2022 11:19,364.4,9.593,48.17,78.4
M2003-0001,8/5/2020 12:10,363.9,9.589,48.14,78.4
M2003-0002,6/29/2022 14:19,363.6,9.587,48.11,78.4
M2003-0002,4/20/2022 15:59,363,9.587,47.79,77.3
M2003-0002,3/22/2022 11:13,362.9,9.59,48.03,78.4
M2003-0002,3/22/2022 11:12,363.1,9.592,48.04,78.4
M2003-0002,8/5/2020 11:46,362.7,9.583,48.03,78.4
