NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1610-0065,4/23/2024 10:19,255,8.891,37.75,76.5
M1610-0065,10/7/2022 11:03,255,8.859,37.61,76.7
M1610-0065,9/27/2022 9:23,254.8,8.868,37.76,76.6
M1610-0065,11/11/2021 10:08,255.8,8.885,37.82,76.7
M1610-0065,4/26/2021 13:07,255.6,8.882,37.8,76.6
M1610-0065,9/18/2020 12:38,255.4,8.888,37.78,76.6
M1610-0065,12/10/2019 11:14,256.1,8.884,37.84,76.7
M1610-0065,11/5/2018 11:46,256,8.885,37.83,76.7
M1610-0065,5/23/2018 9:20,256.3,8.896,37.84,76.7
M1610-0065,10/17/2017 13:43,256.4,8.894,37.84,76.7
M1610-0065,11/3/2016 8:33,257.7,8.908,37.9,76.9
M1610-0065,10/24/2016 9:45,258.3,8.942,37.86,76.8
M1610-0068,4/23/2024 9:35,259,8.923,38.12,76.7
M1610-0068,10/7/2022 10:52,258.5,8.894,37.96,76.7
M1610-0068,9/27/2022 9:31,258.7,8.885,38.13,76.9
M1610-0068,11/11/2021 10:16,259.5,8.905,38.16,76.9
M1610-0068,4/26/2021 13:12,259.4,8.905,38.15,76.9
M1610-0068,9/18/2020 12:46,259.2,8.912,38.12,76.8
M1610-0068,12/10/2019 11:20,259.7,8.912,38.17,76.9
M1610-0068,11/5/2018 11:50,259.7,8.918,38.17,76.8
M1610-0068,5/23/2018 8:46,259.7,8.93,38.13,76.8
M1610-0068,10/17/2017 13:53,260.3,8.934,38.17,76.9
M1610-0068,10/24/2016 10:50,261.5,8.966,38.21,76.9
M1610-0082,5/23/2018 9:15,258.3,8.949,37.94,76.6
M1610-0082,10/17/2017 13:34,258.8,8.938,37.97,76.8
M1610-0082,10/24/2016 11:04,259.9,8.973,37.99,76.8
