NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1706-0048,11/16/2023 12:23,279.6,9.6,38.72,75.7
M1706-0048,10/7/2022 15:21,276.8,9.45,38.68,75.9
M1706-0048,9/29/2022 10:46,276.7,9.47,38.74,75.9
M1706-0048,9/16/2021 8:08,277.4,9.484,38.76,75.9
M1706-0048,9/21/2020 10:36,277.5,9.49,38.76,75.9
M1706-0048,1/29/2020 9:12,277.5,9.497,38.72,75.9
M1706-0048,12/10/2018 14:20,278.2,9.498,38.8,76
M1706-0048,7/19/2017 12:34,278.6,9.516,38.76,76
M1706-0049,11/16/2023 12:15,279.9,9.586,38.79,75.8
M1706-0049,10/7/2022 15:14,277,9.476,38.64,75.9
M1706-0049,9/29/2022 10:36,277,9.457,38.81,75.9
M1706-0049,9/16/2021 8:15,277.9,9.47,38.85,76
M1706-0049,9/21/2020 10:47,277.7,9.48,38.81,76
M1706-0049,1/29/2020 9:21,277.9,9.476,38.8,76.1
M1706-0049,12/10/2018 14:24,278.4,9.48,38.86,76.1
M1706-0049,7/14/2017 9:09,278.9,9.492,38.86,76.1
