year,mono-module ($/Wp),mono-cell ($/Wp),mono-wafer ($/Wp),poly-Si ($/Wp)
14,0.832026359,0.435140522,0.253991715,0.10389905
14.02,0.831825218,0.433458522,0.254022616,0.101988979
14.02609779,0.823395251,0.43414704,0.253858217,0.103846878
14.02611971,0.82912318,0.435831686,0.25448278,0.1034796
14.03985337,0.819102592,0.436090487,0.25483938,0.103442013
14.04902375,0.816240818,0.436120744,0.253957641,0.104095819
14.04902375,0.816240818,0.436879659,0.253976458,0.105042108
14.05361442,0.816241914,0.437854849,0.253907134,0.105461345
14.07199354,0.820542243,0.437892143,0.254463909,0.105473167
14.07199354,0.820542243,0.438515326,0.255002262,0.106279469
14.08118583,0.823408399,0.440022625,0.254996,0.107201637
14.09037813,0.826274555,0.439924178,0.255813904,0.107313052
14.09957042,0.82914071,0.440598634,0.256592709,0.107636615
14.09957042,0.82914071,0.441111279,0.257479136,0.108378455
14.09957042,0.82914071,0.440512345,0.257836876,0.108310456
14.10872437,0.82198299,0.43993128,0.257928606,0.108316851
14.11330409,0.819120122,0.439966616,0.2587618,0.108208848
14.12246351,0.813394384,0.43836205,0.258831442,0.108670473
14.12703775,0.809099533,0.437946432,0.258762188,0.109346648
14.12703775,0.809099533,0.43770543,0.258786104,0.109262221
14.13161746,0.806236664,0.436964764,0.258793398,0.109276941
14.13618074,0.799077849,0.437059506,0.258780858,0.109158798
14.13618622,0.800509831,0.437034417,0.258710523,0.109711495
14.14533469,0.791920129,0.437474081,0.259413137,0.110261171
14.14534565,0.794784093,0.438990554,0.259866884,0.110264061
14.14992536,0.791921225,0.440041846,0.259664347,0.111102732
14.16828804,0.791925607,0.439964594,0.259792935,0.111168505
14.18,0.798588567,0.440799247,0.260612847,0.111567703
14.185,0.799372013,0.440941225,0.260793634,0.112450564
14.19,0.80013928,0.440940531,0.260567179,0.113237895
14.195,0.801278583,0.44067351,0.261010261,0.114031049
14.2,0.804104171,0.439806554,0.261677715,0.113998496
14.205,0.806601436,0.439044273,0.261610242,0.114606388
14.21,0.807080526,0.438166382,0.26303818,0.115048704
14.215,0.807881791,0.438037619,0.264329703,0.115129475
14.22,0.808683691,0.437731042,0.264505122,0.115964736
14.225,0.809458804,0.436938691,0.264661698,0.116015988
14.23,0.810211002,0.437046669,0.265484739,0.1159578
14.235,0.811052115,0.43788854,0.265534261,0.115958763
14.24,0.811822684,0.43799012,0.265476451,0.116018356
14.245,0.811694227,0.438367546,0.265484065,0.115948455
14.25,0.812944982,0.439089331,0.265525829,0.115128235
14.255,0.814085903,0.438957264,0.265474719,0.114944514
14.26,0.815247392,0.438268682,0.264715699,0.115041751
14.265,0.817629757,0.436580641,0.263813873,0.115008106
14.27,0.817707414,0.4361103,0.263478852,0.115016022
14.275,0.817457427,0.435668852,0.263653523,0.115015469
14.28,0.817972498,0.43408188,0.263510169,0.115014808
14.285,0.818794134,0.434142451,0.262686128,0.115015246
14.29,0.81718125,0.434221095,0.262559062,0.115015078
14.295,0.811450779,0.434148804,0.262642576,0.115015123
14.3198404,0.807713567,0.434235831,0.262610624,0.115015117
14.33357954,0.799124961,0.434103855,0.262619116,0.115015115
14.33816474,0.797694074,0.433280807,0.262618001,0.115015117
14.34275541,0.79769517,0.432391752,0.262617603,0.115015116
14.34735155,0.799128248,0.432276894,0.262617965,0.115015116
14.35195318,0.801993308,0.43201463,0.262617811,0.115015116
14.36115095,0.806291445,0.431065876,0.262617856,0.115015116
14.36115095,0.806291445,0.430345596,0.262617848,0.115015116
14.36574162,0.806292541,0.430325864,0.262617847,0.115015116
