NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1609-0013,9/7/2017 10:39,260.4,9.013,37.83,76.8
M1609-0013,9/19/2016 11:06,261.2,9.022,37.85,76.9
M1609-0065,9/7/2017 10:35,258.6,8.981,37.78,76.6
M1609-0065,9/20/2016 12:29,259.4,9.01,37.78,76.6
M1609-0086,4/18/2024 10:17,261,9.05,37.85,76.6
M1609-0086,9/9/2022 9:07,260.4,9.029,37.83,76.7
M1609-0086,4/7/2021 11:32,260.9,9.044,37.84,76.7
M1609-0086,9/15/2020 10:44,260.4,9.04,37.81,76.6
M1609-0086,6/3/2019 8:40,261.5,9.05,37.87,76.7
M1609-0086,10/29/2018 10:44,261.1,9.051,37.83,76.7
M1609-0086,5/10/2018 8:20,261.6,9.054,37.87,76.7
M1609-0086,9/11/2017 8:42,261.9,9.067,37.9,76.6
M1609-0086,10/17/2016 10:20,263.2,9.095,37.91,76.8
M1609-0086,10/12/2016 9:25,264.5,9.105,37.98,76.9
M1609-0087,9/29/2022 15:40,256.9,8.993,37.55,76.3
M1609-0087,9/9/2022 8:56,257,8.988,37.7,76.3
M1609-0087,4/7/2021 11:37,257.2,9.006,37.68,76.2
M1609-0087,9/15/2020 10:35,256.9,8.998,37.66,76.2
M1609-0087,3/24/2020 10:29,258,9.01,37.75,76.3
M1609-0087,6/3/2019 8:44,257.9,9.018,37.71,76.2
M1609-0087,10/29/2018 10:31,258.2,9.017,37.78,76.2
M1609-0087,5/10/2018 8:26,257.8,9.026,37.7,76.2
M1609-0087,9/7/2017 10:25,258,9.019,37.71,76.3
M1609-0087,10/17/2016 10:31,258.9,9.042,37.72,76.3
M1609-0087,10/12/2016 9:16,260,9.054,37.78,76.4
