NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1706-0052,12/10/2018 13:35,282.4,9.357,39.35,77.3
M1706-0052,8/9/2017 9:14,287.4,9.431,39.57,77.6
M1706-0059,1/25/2024 11:40,277.8,9.371,39.06,76.5
M1706-0059,10/7/2022 10:37,277,9.326,38.96,76.6
M1706-0059,9/16/2021 9:26,278.8,9.345,39.16,76.8
M1706-0059,9/21/2020 11:39,280.3,9.359,39.24,76.9
M1706-0059,1/29/2020 10:05,280.1,9.331,39.23,77.1
M1706-0059,12/10/2018 13:25,282.2,9.358,39.36,77.2
M1706-0059,8/11/2017 9:38,287.6,9.429,39.66,77.5
M1706-0059,8/7/2017 13:56,288.4,9.45,39.67,77.5
M1706-0059,7/11/2017 8:59,291.1,9.478,39.82,77.7
M1706-0067,1/25/2024 11:32,277.5,9.326,39.04,76.8
M1706-0067,10/7/2022 10:46,275.9,9.321,38.9,76.4
M1706-0067,9/16/2021 9:13,277.6,9.314,39.14,76.7
M1706-0067,9/21/2020 11:23,278.5,9.331,39.16,76.8
M1706-0067,1/29/2020 9:57,278.1,9.279,39.2,77
M1706-0067,12/10/2018 13:44,280.8,9.321,39.37,77.1
M1706-0067,8/11/2017 9:18,286.2,9.434,39.59,77.2
M1706-0067,8/7/2017 13:48,286.5,9.433,39.62,77.3
M1706-0067,7/11/2017 9:14,289.6,9.469,39.77,77.5
M1706-0070,1/25/2024 11:26,280.5,9.405,39.19,76.7
M1706-0070,10/7/2022 10:40,278.4,9.334,39.07,76.7
M1706-0070,9/16/2021 9:31,279.6,9.345,39.25,76.8
M1706-0070,9/21/2020 11:30,281,9.363,39.32,76.9
M1706-0070,1/29/2020 9:53,280.2,9.321,39.31,77
M1706-0070,12/10/2018 13:41,282.8,9.353,39.46,77.2
M1706-0070,8/17/2017 9:31,287.3,9.44,39.68,77.3
M1706-0076,12/10/2018 13:30,281.4,9.358,39.34,77
M1706-0076,8/11/2017 10:03,286.9,9.425,39.62,77.4
M1706-0076,8/7/2017 14:24,287.4,9.427,39.67,77.5
M1706-0076,7/11/2017 9:33,290.1,9.465,39.77,77.7
M1706-0080,1/25/2024 11:45,278.7,9.356,39.07,76.8
M1706-0080,10/7/2022 10:43,276.5,9.343,38.91,76.4
M1706-0080,9/16/2021 9:18,278.4,9.341,39.17,76.7
M1706-0080,9/21/2020 11:34,280.6,9.363,39.23,77
M1706-0080,1/29/2020 10:07,281.8,9.346,39.32,77.3
M1706-0080,12/10/2018 13:19,282.4,9.383,39.35,77.1
M1706-0080,8/11/2017 9:03,288.2,9.455,39.63,77.5
M1706-0080,8/7/2017 13:41,288,9.453,39.62,77.5
M1706-0080,7/11/2017 9:23,290.9,9.475,39.79,77.7
