NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1811-0001,5/3/2024 9:26,351.2,9.67,47.32,77.1
M1811-0001,10/7/2022 9:00,354.1,9.708,47.43,77.3
M1811-0001,9/29/2021 8:55,354.1,9.709,47.42,77.3
M1811-0001,4/14/2021 9:27,354.3,9.72,47.4,77.3
M1811-0001,9/28/2020 11:12,354.1,9.708,47.41,77.3
M1811-0001,6/2/2020 11:46,353.8,9.721,47.36,77.2
M1811-0001,12/19/2019 13:10,354.5,9.715,47.45,77.3
M1811-0001,11/26/2018 9:57,357.2,9.724,47.62,77.6
M1811-0008,5/3/2024 9:33,347.5,9.564,47.04,77.6
M1811-0008,10/7/2022 9:11,349.1,9.619,47.07,77.5
M1811-0008,9/29/2021 9:01,349.8,9.622,47.13,77.5
M1811-0008,4/14/2021 9:36,350.4,9.641,47.12,77.5
M1811-0008,9/28/2020 11:17,350.2,9.634,47.13,77.5
M1811-0008,6/2/2020 11:35,350.1,9.638,47.1,77.5
M1811-0008,12/19/2019 13:06,350.2,9.628,47.12,77.6
M1811-0008,5/28/2019 11:02,349.4,9.617,47.07,77.6
M1811-0008,5/15/2019 8:13,349.6,9.621,47.08,77.6
M1811-0008,5/7/2019 8:46,349.7,9.613,47.11,77.6
M1811-0008,4/29/2019 12:07,349.4,9.624,47.07,77.5
M1811-0008,4/17/2019 8:04,349.4,9.617,47.08,77.6
M1811-0008,4/5/2019 8:18,349.5,9.614,47.08,77.6
M1811-0008,3/26/2019 7:50,350.5,9.616,47.16,77.7
M1811-0008,3/14/2019 10:58,349.7,9.612,47.11,77.6
M1811-0008,3/4/2019 13:04,351.2,9.635,47.19,77.6
M1811-0008,2/19/2019 10:51,351.8,9.644,47.22,77.7
M1811-0008,2/12/2019 8:56,351.9,9.643,47.22,77.7
M1811-0008,2/5/2019 13:27,352.2,9.644,47.26,77.7
M1811-0008,1/24/2019 14:46,352.4,9.649,47.25,77.7
M1811-0008,11/26/2018 9:42,352.9,9.66,47.29,77.7
