NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1811-0012,5/3/2024 9:45,352.6,9.667,47.53,77.1
M1811-0012,10/7/2022 8:46,352,9.699,47.5,76.8
M1811-0012,9/29/2021 9:20,354.1,9.697,47.6,77.1
M1811-0012,4/14/2021 9:49,357.2,9.75,47.71,77.2
M1811-0012,9/28/2020 11:01,354.7,9.733,47.55,77
M1811-0012,6/2/2020 11:27,355.3,9.752,47.54,77
M1811-0012,12/19/2019 12:54,356.9,9.732,47.65,77.4
M1811-0012,11/30/2018 10:32,355.4,9.69,47.58,77.5
M1811-0017,5/3/2024 9:48,352.6,9.7,47.54,76.8
M1811-0017,10/7/2022 8:54,351.8,9.718,47.47,76.6
M1811-0017,9/29/2021 9:15,354.7,9.724,47.57,77.1
M1811-0017,4/14/2021 9:45,358.7,9.756,47.69,77.5
M1811-0017,9/28/2020 10:50,355,9.744,47.49,77.1
M1811-0017,6/2/2020 11:03,356.3,9.758,47.55,77.2
M1811-0017,12/19/2019 12:47,358.3,9.744,47.64,77.6
M1811-0017,11/30/2018 10:39,354.8,9.697,47.52,77.4
M1811-0022,5/3/2024 9:38,350.8,9.683,47.5,76.6
M1811-0022,10/7/2022 8:41,351.1,9.714,47.47,76.5
M1811-0022,9/29/2021 9:10,353,9.712,47.55,76.8
M1811-0022,4/14/2021 9:56,355.6,9.761,47.61,76.9
M1811-0022,9/28/2020 11:06,353.9,9.739,47.52,76.9
M1811-0022,6/2/2020 11:09,355.2,9.765,47.52,76.9
M1811-0022,12/19/2019 12:58,356.4,9.755,47.59,77.2
M1811-0022,11/30/2018 10:22,355.1,9.728,47.54,77.2
M1811-0025,5/3/2024 9:54,352.3,9.689,47.5,76.9
M1811-0025,10/7/2022 8:32,352.5,9.715,47.47,76.8
M1811-0025,9/29/2021 9:25,355,9.72,47.6,77.1
M1811-0025,4/14/2021 9:41,357.9,9.768,47.65,77.3
M1811-0025,9/28/2020 10:57,355.1,9.744,47.52,77.1
M1811-0025,6/2/2020 10:41,355.6,9.758,47.51,77.1
M1811-0025,12/19/2019 12:39,357.2,9.757,47.58,77.3
M1811-0025,11/30/2018 10:29,354.6,9.718,47.54,77.1
