NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1806-0001,5/8/2024 9:45,326.9,10.519,40.26,77.4
M1806-0001,10/7/2022 12:06,328.9,10.562,40.14,77.5
M1806-0001,10/4/2022 8:06,329.1,10.582,40.29,77.3
M1806-0001,9/29/2021 8:13,329.3,10.551,40.28,77.7
M1806-0001,9/29/2020 8:46,328.8,10.572,40.24,77.4
M1806-0001,1/28/2020 14:49,329.7,10.582,40.29,77.5
M1806-0001,8/1/2018 10:57,327.6,10.509,40.27,77.6
M1806-0001,6/6/2018 11:17,327.8,10.498,40.28,77.7
M1806-0002,5/8/2024 9:53,326.1,10.481,40.27,77.4
M1806-0002,10/7/2022 12:12,328.5,10.53,40.17,77.6
M1806-0002,10/4/2022 8:13,328.3,10.509,40.32,77.7
M1806-0002,9/29/2021 8:21,328.4,10.509,40.32,77.7
M1806-0002,9/29/2020 8:52,328.3,10.509,40.29,77.7
M1806-0002,1/28/2020 14:41,329.1,10.519,40.34,77.7
M1806-0002,8/1/2018 10:40,327.2,10.481,40.31,77.6
M1806-0002,6/6/2018 11:22,327.8,10.463,40.34,77.8
