NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1803-0042,4/4/2023 10:29,298.3,9.882,39.67,76.6
M1803-0042,10/7/2022 11:43,298.4,9.875,39.48,76.6
M1803-0042,9/29/2022 10:06,298.2,9.877,39.7,76.5
M1803-0042,9/22/2021 10:09,297.9,9.875,39.64,76.6
M1803-0042,9/23/2020 11:45,298.5,9.881,39.67,76.6
M1803-0042,1/27/2020 8:55,300.4,9.89,39.8,76.8
M1803-0042,4/13/2018 9:14,299.9,9.826,39.87,77
M1803-0042,3/16/2018 11:25,301.9,9.88,39.9,77
M1803-0043,4/4/2023 10:40,299.6,9.848,39.78,77
M1803-0043,10/7/2022 11:31,299.4,9.842,39.56,76.9
M1803-0043,9/29/2022 10:15,299.5,9.84,39.77,77
M1803-0043,9/22/2021 10:15,298.8,9.836,39.73,76.9
M1803-0043,9/23/2020 11:40,298.8,9.841,39.73,76.9
M1803-0043,1/27/2020 8:51,299.8,9.84,39.82,77
M1803-0043,4/13/2018 9:09,299.2,9.777,39.9,77.2
M1803-0043,3/16/2018 11:28,300.6,9.81,39.92,77.2
