NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1803-0007,11/16/2023 9:59,327,6.014,70.36,78.3
M1803-0007,7/18/2022 11:50,329.9,6.073,70.24,78.4
M1803-0007,9/21/2021 13:30,330.6,6.069,70.33,78.5
M1803-0007,9/23/2020 9:04,331,6.077,70.37,78.5
M1803-0007,10/24/2019 9:24,330.4,6.067,70.28,78.5
M1803-0007,4/13/2018 8:54,331.5,6.045,70.58,78.8
M1803-0008,7/18/2022 11:26,329.5,6.075,70.24,78.3
M1803-0008,9/21/2021 13:25,330.1,6.07,70.3,78.4
M1803-0008,9/23/2020 9:11,330.7,6.077,70.36,78.4
M1803-0008,10/24/2019 9:44,330.3,6.069,70.3,78.5
M1803-0008,4/13/2018 9:01,331.2,6.047,70.53,78.7
