NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1812-0010,3/21/2023 14:59,408.1,9.244,54.92,77.4
M1812-0010,4/20/2022 15:37,410.1,9.272,54.79,77.3
M1812-0010,3/22/2022 10:16,409.3,9.237,55.01,77.5
M1812-0010,9/27/2019 11:06,411.8,9.243,55,78
M1812-0010,1/18/2019 9:15,408.8,9.21,54.95,77.7
M1812-0011,3/21/2023 14:35,405.6,9.143,54.7,78
M1812-0011,4/21/2022 10:55,404.1,9.122,54.42,78
M1812-0011,3/22/2022 10:01,404.8,9.157,54.71,77.8
M1812-0011,9/27/2019 10:49,406.3,9.156,54.69,78.1
M1812-0011,1/18/2019 9:27,403.8,9.129,54.71,77.8
,,,,,
