NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M2003-0002,8/5/2020 11:46,362.7,9.583,48.03,78.4
M2003-0006,6/29/2022 15:28,361,9.542,47.97,78.5
M2003-0006,8/6/2020 12:49,362.4,9.577,47.97,78.5
M2003-0011,6/29/2022 14:29,361.7,9.522,48.07,78.6
M2003-0011,8/13/2020 11:00,363.7,9.562,48.09,78.7
M2003-0012,6/29/2022 14:48,361.5,9.53,48.07,78.5
M2003-0012,8/13/2020 13:55,363.6,9.592,48.05,78.5
M2003-0014,3/29/2024 13:22,354.6,9.371,47.99,78.5
M2003-0014,6/29/2022 15:15,361.4,9.519,48.09,78.5
M2003-0014,8/13/2020 14:26,363.6,9.571,48.08,78.6
M2003-0016,6/29/2022 15:37,361.8,9.542,48.08,78.4
M2003-0016,7/30/2020 10:38,364.4,9.596,48.14,78.5
M2003-0019,6/29/2022 15:05,362,9.538,48.04,78.6
M2003-0019,7/30/2020 9:31,364.2,9.574,48.1,78.7
M2003-0019,7/30/2020 9:30,364.4,9.579,48.12,78.6
M2003-0024,6/29/2022 15:52,361.2,9.562,47.94,78.4
M2003-0024,7/30/2020 10:07,364.6,9.604,48.1,78.5
M2003-0025,6/29/2022 15:44,361.6,9.549,47.96,78.5
M2003-0025,7/30/2020 10:28,363.5,9.574,48.01,78.7
,,,,,
