NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1901-0003,6/29/2022 12:59,362,9.686,47.84,78.1
M1901-0003,2/8/2019 11:11,365.9,9.67,48.12,78.6
M1901-0004,3/28/2024 8:44,357.5,9.605,47.84,77.8
M1901-0004,6/29/2022 12:55,361.8,9.726,47.84,77.8
M1901-0004,12/12/2019 10:24,363.7,9.726,47.97,77.9
M1901-0004,2/8/2019 11:06,364.7,9.715,48.03,78.2
M1901-0005,6/29/2022 13:21,351.3,9.6,47.22,77.5
M1901-0005,12/12/2019 10:33,355.9,9.631,47.48,77.8
M1901-0005,2/8/2019 10:52,355.2,9.618,47.4,77.9
M1901-0006,6/29/2022 13:06,356.8,9.629,47.53,78
M1901-0006,2/8/2019 10:35,360,9.625,47.7,78.4
