NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1609-0005,9/15/2016 10:28,263.7,9.142,37.97,76.2
M1609-0005,9/9/2016 11:20,267.2,9.203,38.09,76.5
M1609-0006,12/12/2023 14:36,253.3,8.945,37.67,75.4
M1609-0006,9/15/2016 10:33,264.4,9.144,38.09,76.2
M1609-0006,9/9/2016 11:44,267.4,9.21,38.13,76.4
M1609-0007,12/14/2023 13:14,253.6,8.977,37.68,75.3
M1609-0007,9/15/2016 10:46,263.5,9.128,37.96,76.3
M1609-0007,9/9/2016 11:48,267.8,9.215,38.13,76.5
M1609-0008,12/12/2023 14:23,254,8.954,37.69,75.5
M1609-0008,9/15/2016 10:49,264.6,9.119,38.1,76.4
M1609-0008,9/9/2016 11:51,267.9,9.187,38.18,76.6
M1609-0009,12/14/2023 13:08,255.5,8.95,37.68,76
M1609-0009,9/15/2016 10:58,265.1,9.115,38.06,76.7
M1609-0009,9/9/2016 11:54,268.8,9.188,38.18,76.9
M1609-0010,9/12/2022 12:56,252,8.987,37.58,74.9
M1609-0010,10/5/2021 8:12,251.8,8.979,37.62,74.8
M1609-0010,4/7/2021 8:25,257.9,9.053,37.91,75.4
M1609-0010,9/15/2020 9:40,251.7,8.956,37.59,75
M1609-0010,3/24/2020 11:10,257.8,9.049,37.88,75.5
M1609-0010,6/3/2019 8:16,258.8,9.088,37.88,75.4
M1609-0010,10/29/2018 10:20,257.4,9.057,37.88,75.3
M1609-0010,5/10/2018 8:59,259.3,9.079,37.94,75.5
M1609-0010,9/1/2017 10:49,258.7,9.067,37.94,75.5
M1609-0010,9/15/2016 11:01,262.9,9.12,38.07,76
M1609-0010,9/9/2016 11:57,266.9,9.189,38.2,76.3
M1609-0011,9/12/2022 12:39,253.7,8.976,37.58,75.5
M1609-0011,10/5/2021 8:27,254.6,8.988,37.65,75.5
M1609-0011,4/7/2021 11:07,258.4,9.061,37.81,75.7
M1609-0011,9/15/2020 9:27,252.4,8.984,37.54,75.1
M1609-0011,3/24/2020 11:20,258.5,9.05,37.86,75.7
