NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1610-0020,11/5/2018 10:29,257.2,9.06,37.73,75.7
M1610-0020,5/23/2018 10:40,257.8,9.084,37.7,75.7
M1610-0020,9/15/2017 14:13,258.1,9.09,37.7,75.7
M1610-0020,10/17/2016 11:05,262.7,9.117,37.9,76.5
M1610-0020,10/12/2016 9:29,263.3,9.136,37.91,76.5
M1610-0021,11/5/2018 10:15,257.6,9.064,37.72,75.7
M1610-0021,5/23/2018 10:31,257.9,9.08,37.72,75.7
M1610-0021,9/15/2017 14:32,257.3,9.082,37.67,75.6
M1610-0021,10/17/2016 11:10,263.8,9.124,37.94,76.6
M1610-0021,10/12/2016 9:35,264.2,9.135,37.93,76.7
M1610-0024,10/31/2023 13:50,248.7,8.86,37.37,75.5
M1610-0024,10/18/2016 10:29,263.2,9.076,37.92,76.9
M1610-0025,10/31/2023 14:45,254.9,8.987,37.53,76
M1610-0025,3/30/2023 10:35,257.9,9.044,37.62,76.2
M1610-0025,4/27/2021 9:14,258,9.059,37.6,76.1
M1610-0025,9/17/2020 11:01,257.5,9.036,37.62,76.2
M1610-0025,12/10/2019 10:43,258.4,9.061,37.62,76.2
M1610-0025,11/5/2018 10:19,259.1,9.054,37.75,76.2
M1610-0025,5/23/2018 11:00,258.8,9.083,37.65,76.1
M1610-0025,9/15/2017 14:19,259.5,9.074,37.72,76.2
M1610-0025,10/18/2016 9:38,263.7,9.134,37.89,76.7
M1610-0026,10/31/2023 13:35,253.5,8.988,37.56,75.5
M1610-0026,10/18/2016 9:54,262,9.111,37.8,76.5
M1610-0029,10/31/2023 14:18,248.8,8.834,37.34,75.9
M1610-0029,10/18/2016 10:26,263.3,9.087,37.9,76.9
M1610-0032,10/31/2023 13:57,254.4,8.997,37.64,75.6
M1610-0032,10/18/2016 9:58,264.2,9.125,38.02,76.6
M1610-0032,10/12/2016 10:07,264.9,9.135,38.04,76.7
M1610-0033,10/31/2023 13:42,247.4,8.822,37.3,75.6
M1610-0033,10/18/2016 10:01,262.3,9.062,37.85,76.9
M1610-0033,10/12/2016 10:01,263.3,9.088,37.87,77
M1610-0034,10/31/2023 14:05,247.8,8.813,37.34,75.7
M1610-0034,10/18/2016 10:06,262.7,9.042,37.95,77
M1610-0034,10/12/2016 9:52,264.5,9.067,38.01,77.2
M1610-0035,11/10/2023 9:30,255.8,8.998,37.76,75.7
M1610-0035,10/18/2016 10:10,263.9,9.131,38.04,76.4
M1610-0035,10/12/2016 9:47,264.5,9.151,38.04,76.4
M1610-0040,11/10/2023 10:05,253.3,9,37.54,75.4
M1610-0040,10/13/2016 9:42,262.6,9.112,37.81,76.6
M1610-0041,10/31/2023 14:39,249.4,8.881,37.43,75.4
M1610-0041,3/30/2023 10:42,255.9,8.992,37.68,75.9
M1610-0041,4/27/2021 9:19,255.9,9.01,37.61,75.9
M1610-0041,9/17/2020 10:43,252,8.951,37.44,75.6
M1610-0041,12/10/2019 10:50,256.2,9.006,37.64,76
M1610-0041,11/5/2018 10:25,256.7,9.001,37.7,76.1
M1610-0041,5/23/2018 10:45,258.3,9.033,37.72,76.2
M1610-0041,9/15/2017 14:17,257.7,9.017,37.71,76.2
M1610-0041,10/17/2016 10:54,262.8,9.089,37.88,76.8
M1610-0042,10/31/2023 15:00,250.7,8.946,37.48,75.2
M1610-0042,3/30/2023 10:58,254.2,9.01,37.6,75.4
M1610-0042,4/27/2021 9:02,254.7,9.025,37.55,75.6
M1610-0042,9/17/2020 10:51,253.7,8.994,37.53,75.6
M1610-0042,3/24/2020 11:25,255.6,9.033,37.62,75.6
M1610-0042,12/10/2019 11:02,255.1,9.02,37.57,75.7
M1610-0042,11/5/2018 10:03,255.9,9.022,37.63,75.8
M1610-0042,5/23/2018 10:20,256.6,9.039,37.69,75.7
M1610-0042,9/15/2017 14:40,256.8,9.04,37.64,75.9
M1610-0042,10/17/2016 10:46,261.8,9.104,37.81,76.5
M1610-0043,10/31/2023 14:54,232.6,8.768,37.28,71.6
M1610-0043,3/30/2023 10:52,239.5,8.88,37.57,72.2
M1610-0043,4/27/2021 9:08,240.8,8.935,37.5,72.3
M1610-0043,9/17/2020 10:57,235.7,8.772,37.27,72.5
M1610-0043,3/24/2020 11:28,241.6,8.915,37.57,72.5
M1610-0043,12/10/2019 11:09,241.4,8.907,37.49,72.7
M1610-0043,11/5/2018 10:12,243.5,8.911,37.53,73.2
M1610-0043,5/23/2018 10:25,248,8.982,37.69,73.7
M1610-0043,9/15/2017 14:36,243.9,8.962,37.59,72.8
M1610-0043,10/17/2016 11:01,254.7,9.063,37.76,74.8
M1610-0044,11/10/2023 9:47,256.1,8.98,37.78,75.9
M1610-0044,10/13/2016 9:46,264.3,9.101,38.04,76.7
M1610-0045,11/10/2023 10:01,253.8,8.973,37.59,75.7
M1610-0045,10/13/2016 9:50,262.3,9.092,37.85,76.6
M1610-0046,11/10/2023 9:41,253.7,8.978,37.72,75.3
M1610-0046,10/13/2016 9:54,263.4,9.099,37.99,76.6
M1610-0047,11/10/2023 9:55,255.8,9.003,37.72,75.7
M1610-0047,10/13/2016 9:57,264.3,9.114,37.99,76.7
M1610-0048,11/10/2023 9:35,255.9,9.013,37.62,75.9
M1610-0048,10/13/2016 10:07,263.3,9.132,37.85,76.6
